Direction,Outer Ratio,Inner Ratio,Change in $,% Change over last 4 minutes,Total Profit $
Up,-0.544180988,0.265476415,0.01,4.75E-06,0.034598345
Down,-0.539734322,0.319105856,-0.01,-4.75E-06,0.034598345
Up,-0.536930349,0.333602882,0.01,4.75E-06,0.034598345
Down,-0.530875023,0.402600091,-0.01,-4.75E-06,0.034598345
Up,-0.522344913,0.533394845,0.01,4.75E-06,0.034598345
Down,-0.518798559,0.598801716,-0.01,-4.08E-11,0.034598345
Up,-0.510043912,0.716336263,0.01,-4.08E-11,0.034598345
Down,-0.493900048,0.93196055,-0.01,-4.08E-11,0.034598345
Up,-0.479581127,1.08627254,0.01,-4.08E-11,0.034598345
Down,-0.462415264,1.227783367,-0.01,-4.08E-11,0.034598345
Up,-0.444924115,1.292487109,0.01,-4.08E-11,0.034598345
Down,-0.430929057,1.353640058,-0.01,-4.08E-11,0.034598345
Up,-0.424694624,1.362743834,0.01,4.30E-06,0.034598345
Down,-0.423505459,1.374406042,-0.01,-4.30E-06,0.034598345
Up,-0.414891123,1.412044429,0.01,4.30E-06,0.034598345
Down,-0.384363094,1.568882061,-0.01,-4.08E-11,0.034598345
Up,-0.371982578,1.679055311,0.01,4.30E-06,0.034598345
Down,-0.367531,1.71530101,-0.01,-4.30E-06,0.034598345
Up,-0.35763966,1.788169887,0.01,4.30E-06,0.034598345
Up,-0.346745089,1.931879152,0.01,-4.30E-06,0.034598345
Down,-0.328670566,2.129812065,-0.01,-4.30E-06,0.034598345
Up,-0.3242683,2.201753478,0.01,-4.30E-06,0.034598345
Down,-0.309500074,2.387601997,-0.01,-4.30E-06,0.034598345
Up,-0.307719583,2.446344299,0.01,-4.08E-11,0.034598345
Down,-0.298011637,3.198125983,-0.01,-3.93E-06,0.034598345
Up,-0.277895964,8.534309918,0.01,-3.93E-06,0.034598345
Up,-0.263183447,11.62964476,0.3,-3.93E-06,0.034598345
Up,-0.260491849,11.97361599,4.7,-0.000125682,0.034598345
Up,-0.267460487,27.06474304,1.94,-0.001967665,0.034598345
Up,-0.272287323,27.48483149,1.84,-0.002853329,0.034598345
Down,-0.315813837,25.22927313,-0.01,-0.003612484,0.034598345
Up,-0.317232219,25.14069765,0.01,-0.003604275,0.034598345
Down,-0.346081109,16.71971234,-0.01,-0.003451492,0.034598345
Up,-0.348855808,11.99455099,0.01,-0.003451495,0.034598345
Down,-0.3657876,0.623760217,-0.01,-0.003311444,0.034598345
Up,-0.388503507,0.818532504,0.01,-0.003303919,0.034598345
Down,-0.405772935,1.102418975,-0.01,-0.003311444,0.034598345
Up,-0.427388111,1.118102348,0.01,-0.003451495,0.034598345
Down,-0.443207276,1.093144251,-0.01,-0.003311444,0.034598345
Up,-0.525245826,0.381644587,0.01,-0.003303919,0.034598345
Down,-0.527558461,0.353057056,-0.01,-0.003612484,0.034598345
Up,-0.532209282,0.28803442,0.01,-0.003451495,0.034598345
Down,-0.566904351,-0.062320249,-0.01,-0.003311444,0.034598345
Up,-0.571211061,-0.099522664,0.01,-0.003303919,0.034598345
Down,-0.573011522,-0.115515671,-0.01,-0.003451492,0.034598345
Up,-0.585870104,-0.164471449,1.23,-0.003303919,0.034598345
Down,-0.595580153,-0.035441887,-0.01,-0.003615855,0.034598345
Up,-0.622100878,0.914342664,0.01,-0.003608631,0.034598345
Down,-0.62329975,0.971307474,-0.01,-0.003615855,0.034598345
Up,-0.634633035,1.70022469,0.01,-0.003473312,0.034598345
Down,-0.639477525,2.297581398,-0.01,-0.003473309,0.034598345
Up,-0.641314081,3.061308173,0.01,-0.003473312,0.034598345
Down,-0.636233352,3.78153791,-0.01,-0.003473309,0.034598345
Up,-0.626239192,3.92537745,0.01,-0.001801993,0.034598345
Down,-0.615053119,3.624943079,-0.01,-0.001104926,0.034598345
Up,-0.60829124,3.557855613,0.01,-0.000436872,0.034598345
Down,-0.604776763,3.592951989,-0.01,-0.000458836,0.034598345
Up,-0.597029888,3.84354781,0.01,-0.000436872,0.034598345
Up,-0.589676187,4.073205721,3.1,-0.000444093,0.034598345
Up,-0.590725453,4.274576662,10.89,-0.001628361,0.034598345
Up,-0.59100146,4.508575418,0.01,-0.005493535,0.034598345
Down,-0.591332553,4.79018775,-0.01,-0.005285712,0.034598345
Up,-0.591620586,5.051023596,0.01,-0.005278773,0.034598345
Down,-0.592150605,6.390963277,-0.01,-0.005285712,0.034598345
Up,-0.592748846,7.568418744,2.07,-0.005278773,0.034598345
Up,-0.593034786,7.833825914,0.4,-0.005999889,0.034598345
Up,-0.59417263,7.764202702,1.54,-0.005696848,0.034598345
Down,-0.598176168,7.358886048,-0.01,-0.006195725,0.034598345
